Non-BRTS,YE-544-D,YE-544-D-44,44,Chemical Warehouse,22.3060155,39.1152383,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-545-D,YE-545-D-45,45,غير معروف,26.2951351,50.2199702,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-546-D,YE-546-D-46,46,G-3529,22.3188962,39.1066282,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-547-D,YE-547-D-47,47,Gardens School,22.3235075,39.1100757,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-548-D,YE-548-D-48,48,طريق المسجد الحرام 159,21.4224499,39.8566188,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-549-D,YE-549-D-49,49,G-1427,22.3229063,39.1076366,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-550-D,YE-550-D-50,50,G-1427,22.3236134,39.1077061,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-551-D,YE-551-D-51,51,Gardens School,22.3242161,39.1081348,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-552-D,YE-552-D-52,52,G-1445,22.3247382,39.1091857,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-553-D,YE-553-D-53,53,GES,22.3247547,39.1094904,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-554-D,YE-554-D-54,54,محطة منى رقم 2,21.4042121,39.8921974,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-555-D,YE-555-D-55,55,الشهداء 109,21.4569933,39.8093167,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-556-D,YE-556-D-56,56,محطة عرفات رقم 2,21.3414507,39.9687975,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-557-D,YE-557-D-57,57,محطة مزدلفة رقم 2,21.3832784,39.9069322,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-558-D,YE-558-D-58,58,محطة مزدلفة رقم 3,21.3914015,39.9001704,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-559-D,YE-559-D-59,59,محطة منى رقم 1,21.3995990,39.8978662,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-560-D,YE-560-D-60,60,محطة عرفات رقم 3,21.3462078,39.9609896,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-561-D,YE-561-D-61,61,قطار المشاعر - محطة منى 3 - الجمرات,21.4184155,39.8706879,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-562-D,YE-562-D-62,62,محطة عرفات رقم 1,21.3369588,39.9749764,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-563-D,YE-563-D-63,63,محطة مزدلفة رقم 1,21.3789485,39.9176986,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-564-D,YE-564-D-64,64,طريق المسجد الحرام 140,21.4388735,39.8337013,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-565-D,YE-565-D-65,65,مسجد الاجابة 143,21.4417679,39.8380518,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-566-D,YE-566-D-66,66,Metro Station F1,24.8494840,46.7244002,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-567-D,YE-567-D-67,67,Metro Station A10,24.8425516,46.7230675,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-568-D,YE-568-D-68,68,Metro Station A9,24.8473041,46.7222774,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-569-D,YE-569-D-69,69,Metro Station A8,24.8526522,46.7214088,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-570-D,YE-570-D-70,70,Metro Station A7,24.8562311,46.7208231,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-571-D,YE-571-D-71,71,Metro Station A6,24.8600836,46.7201899,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-572-D,YE-572-D-72,72,Metro Station A5,24.8595472,46.7163361,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-573-D,YE-573-D-73,73,Metro Station A4,24.8555227,46.7169818,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-574-D,YE-574-D-74,74,Metro Station A3,24.8521290,46.7175402,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-575-D,YE-575-D-75,75,Metro Station A2,24.8418289,46.7192362,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-576-D,YE-576-D-76,76,Metro Station A1,24.8385534,46.7213901,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-577-D,YE-577-D-77,77,Metro Station S1,24.8512418,46.7117908,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-578-D,YE-578-D-78,78,Metro Station S2,24.8548897,46.7112036,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-579-D,YE-579-D-79,79,G-1015,22.3222820,39.1130734,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-580-D,YE-580-D-80,80,محبس الجن 168,21.4212027,39.8480316,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-581-D,YE-581-D-81,81,النقل الجماعي,25.0499519,37.2639845,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-582-D,YE-582-D-82,82,الرصيفة 41,21.4238183,39.7851205,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-583-D,YE-583-D-83,83,G-1507,22.3212992,39.1070380,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-584-D,YE-584-D-84,84,غير معروف,26.3041417,50.1287351,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-585-D,YE-585-D-85,85,G-1660,22.3270165,39.1094786,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-586-D,YE-586-D-86,86,G-1263,22.3276241,39.1111328,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-587-D,YE-587-D-87,87,G-2277,22.3298283,39.1106992,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-588-D,YE-588-D-88,88,العكيشية 241,21.3682170,39.8036224,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-589-D,YE-589-D-89,89,العابدية،جامعة أم القرى 399,21.3245861,39.9538352,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-590-D,YE-590-D-90,90,G-1531,22.3235172,39.1067415,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-591-D,YE-591-D-91,91,G-2141,22.3272196,39.1047186,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-592-D,YE-592-D-92,92,Racquet club,22.3267209,39.1052916,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-593-D,YE-593-D-93,93,G-2357,22.3290597,39.1044413,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-594-D,YE-594-D-94,94,محطة سكيرينه,24.6179116,46.7253075,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-595-D,YE-595-D-95,95,الحلة,24.6322176,46.7218115,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-596-D,YE-596-D-96,96,الصالحية,24.6377303,46.7328609,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-597-D,YE-597-D-97,97,الصناعية الأولى,24.6447120,46.7394281,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-598-D,YE-598-D-98,98,سكة الحديد,24.6494848,46.7407349,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-599-D,YE-599-D-99,99,محطة الدوح,24.5824975,46.5884629,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-600-D,YE-600-D-100,100,محطة النقل العام,24.5984610,46.7453250,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-601-D,YE-601-D-101,101,شارع عائشة بنت أبي بكر,24.6005721,46.6438253,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-602-D,YE-602-D-102,102,سلطانة,24.6148098,46.6863287,1,,,,,,,,,,,,,,,,
