Non-BRTS,YE-320-D,YE-320-D-35,35,باصات ارتل - بيت بوس,باصات ارتل - بيت بوس,15.2537541,44.2157553,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-36,36,مفرق خيلة,مفرق خيلة,15.2259420,48.3793022,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-37,37,فرزة جولة مذبح,فرزة جولة مذبح,15.3743994,44.1760770,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-38,38,النور للنقل الداخلي والخارجي,النور للنقل الداخلي والخارجي,15.3171194,44.2284009,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-39,39,البراق للنقل الداخلي والدولي,البراق للنقل الداخلي والدولي,15.3172397,44.2286423,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-40,40,النقل الجماعي اليمني والدولي,النقل الجماعي اليمني والدولي,15.3167740,44.2290768,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-41,41,النور للنقل الداخلي والخارجي,النور للنقل الداخلي والخارجي,15.3165709,44.2286329,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-42,42,فرزة إب بعدان الشعر,فرزة إب بعدان الشعر,13.9567363,44.1811740,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-43,43,غير معروف,غير معروف,15.3809819,44.2315081,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-44,44,موقف باصات فرزة بعدان صنعاء,موقف باصات فرزة بعدان صنعاء,15.2778586,44.2191381,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-45,45,38h.p,38h.p,13.4610908,44.0102547,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-46,46,فرزة الشحر,فرزة الشحر,14.5546241,49.1363398,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-47,47,الفلج,الفلج,15.3619873,45.3302261,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-48,48,نقطة تفتيش,نقطة تفتيش,13.5055377,43.9544164,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-49,49,نقطة تفتيش,نقطة تفتيش,13.4756297,43.9885635,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-50,50,مفرق حريب المجمع,مفرق حريب المجمع,15.3881840,45.3402401,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-51,51,برحه الوقوف التحالف,برحه الوقوف التحالف,15.6440929,45.3224619,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-52,52,مفرق القهوه,مفرق القهوه,15.7823686,48.2952358,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-53,53,فرزة عصر,فرزة عصر,15.3440233,44.1699737,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-54,54,فرزة هائل - الحصبة,فرزة هائل - الحصبة,15.3310250,44.1836871,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-55,55,فرزة باصات الحصبة-الدائري,فرزة باصات الحصبة-الدائري,15.3464372,44.1898021,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-56,56,فرزت عصر الصباحه,فرزت عصر الصباحه,15.3404099,44.1596803,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-57,57,غير معروف,غير معروف,17.0036059,43.6665276,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-58,58,فرزة شميلة,فرزة شميلة,15.3079098,44.2352812,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-59,59,فرزة شميلة,فرزة شميلة,15.3079798,44.2389497,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-60,60,فرزة شميلة,فرزة شميلة,15.3080176,44.2390497,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-61,61,فرزة الباصات حق الصباحة,فرزة الباصات حق الصباحة,15.3404431,44.1595144,1,,,,,,,,,,,,,,,,
